	genre	beats	tempo	plp	spectrogram	chromagram	tempogram	zero_crossings	zero_crossing_rate	spectral_centroid	spectral_rolloff	spectral_contrast	spectral_bandwidth	spectral_flatness	rms	mfccs
0	pop	83.35433467741936	83.35433467741936	0.0	-4.2690625	0.37761196	0.1270049797896095	67487	0.1018672509425754	2682.2841411936142	5956.0789882721865	22.257477751200955	2923.9677291945763	0.04730252	0.15790229	2.0804496
1	pop	99.38401442307692	99.38401442307692	0.0	-3.781867	0.4230361	0.15826422352637484	90785	0.1370099061049884	2835.1193750729913	5944.9793131888055	18.06824462921077	2731.752386563178	0.06138166	0.13989581	0.8431291
2	pop	95.703125	95.703125	0.5190448	-4.3585157	0.42676926	0.1213139233661285	151492	0.22864062197892498	4225.461048803119	8483.38257685615	18.657617423058017	3404.380733377869	0.1258691	0.09786053	-0.6662345
3	pop	75.99954044117646	151.99908088235293	0.0	-4.899115	0.33496165	0.13319760346527745	68571	0.10349447747486465	2525.591958741718	5552.801896026682	23.054193472312004	2848.409561321618	0.030346572	0.19562604	2.0700037
4	pop	95.703125	95.703125	0.47259772	0.98300797	0.35763043	0.14024756456724152	98516	0.14867918600154678	3070.6727406199198	6653.076964907193	17.1289937107431	2975.765677307878	0.0750342	0.20309304	2.515382
5	pop	117.45383522727273	117.45383522727273	0.0	0.13913727	0.41110682	0.12397845406839454	95684	0.14444628226508122	3301.0929851622573	7301.5711100638055	23.540845708340953	3175.46412669437	0.06820601	0.20741427	4.1391325
6	pop	123.046875	123.046875	0.0	0.24669972	0.4100085	0.14309296923920725	84576	0.12767176322022428	3433.985232759774	7932.862007866879	22.282596096234524	3405.7666992378154	0.056423698	0.20743433	6.0355062
7	pop	92.28515625	92.28515625	0.3813754	0.6553928	0.37659606	0.14464785538863012	103348	0.15598678883894046	3131.3254321239874	6553.363079593242	20.29324485365906	2944.985724987451	0.07228257	0.21086523	1.7736417
8	pop	151.99908088235293	151.99908088235293	0.49277604	-5.920678	0.3302879	0.10910550125596014	70016	0.10568551213263727	2927.989977321795	6815.933262942285	23.734989816815435	3200.8357557441045	0.033660278	0.18959826	0.73471004
9	pop	95.703125	95.703125	0.58352715	1.023975	0.36610875	0.15029435983843115	101286	0.15285733275328692	3110.898195801066	6744.988602994489	17.233861894769653	2992.0106379280487	0.07849551	0.1983218	2.3960662
10	pop	107.666015625	107.666015625	0.15942161	0.47262374	0.454658	0.17489410107795977	114448	0.1727420485305491	3279.5319128282426	6952.518387017836	21.466471931146916	3026.2086958494724	0.09039756	0.15963759	3.5115952
11	pop	107.666015625	107.666015625	0.0	5.200462	0.41194078	0.16033396028417682	105560	0.15931563587587008	3194.0815509402264	6993.553044790458	18.40575974443705	3052.790792019349	0.096021354	0.28242227	6.462934
12	pop	99.38401442307692	99.38401442307692	0.0	1.880484	0.5045263	0.10086351659593554	123821	0.18691957596191028	3501.7665179005758	7199.7089005401685	17.936121451694305	3027.137183030078	0.13373645	0.19351788	4.4525824
13	pop	107.666015625	107.666015625	0.0	4.9443154	0.41232684	0.1218892915691918	119008	0.17964142860595514	3486.442168970654	7442.561131453016	19.844530615031942	3132.0290827216677	0.11731814	0.24800573	5.3486943
14	pop	95.703125	95.703125	0.6793244	-2.0331125	0.3409636	0.13181274414973101	86782	0.130993435203983	3141.5753946328723	7236.996481202871	23.89555348611065	3230.4645793807344	0.053766645	0.1875196	1.3784007
15	pop	172.265625	172.265625	0.4602092	-2.0849159	0.40371543	0.20297137194112536	80327	0.12125651041666667	2884.916266089355	6428.876851163718	21.67086600761226	3009.4714107494265	0.037692703	0.19541575	5.135945
16	pop	103.359375	103.359375	0.17763662	-0.43138754	0.38697228	0.10751460748462782	93810	0.14153094487142304	3206.647958650542	7019.799238235933	23.427457585973787	3126.207007463915	0.07266272	0.19603845	4.227348
17	pop	99.38401442307692	99.38401442307692	0.5337776	-0.75597835	0.39462188	0.15067131723726093	76229	0.11505650920823667	2944.414730074532	6878.242991861224	22.7445634070214	3162.449254046746	0.041265976	0.25651452	6.6254134
18	pop	103.359375	103.359375	0.0	3.6626027	0.45196876	0.13153808771662073	109215	0.16480568445475638	3237.8331640737974	6701.355971758991	19.082680706367366	2954.2710451778385	0.090256006	0.24084239	5.3766165
19	pop	103.359375	103.359375	0.0	1.0423093	0.39335328	0.12107827435453196	117660	0.1775614184551431	3758.780588956461	7853.9235834179235	21.276160530122407	3293.5288823336773	0.09765326	0.21067925	3.6330142
20	pop	117.45383522727273	117.45383522727273	0.58213305	-0.47010234	0.4561922	0.12183206802810292	89871	0.13560510622099767	3145.363681067722	6691.938317956062	24.246338741637928	3017.374752510687	0.060965512	0.22269987	3.8304849
21	pop	143.5546875	143.5546875	0.0	-3.1453853	0.41398925	0.14645397033883562	78604	0.11862590934358082	3046.5237482673297	6630.777692684164	25.000564385209653	3095.3012638936852	0.043152034	0.20830256	4.024983
22	pop	103.359375	103.359375	0.0	-0.3460482	0.45499545	0.13383629493294505	94528	0.14262155295340295	3123.1590150815546	6616.363936068011	20.215100647690747	2970.177092073625	0.07660115	0.22339483	3.0109258
23	pop	103.359375	103.359375	0.0	0.40248212	0.35240334	0.16553112854975743	97049	0.14645907349671308	3588.149314447026	7948.000199390951	23.603246006477132	3336.585477137673	0.06827112	0.19086911	3.1329553
24	pop	135.99917763157896	135.99917763157896	0.543839	2.1545596	0.41551125	0.1496264632670538	87215	0.13163352547370458	3259.3511186288288	7269.646013087297	24.513782387241562	3144.511334185365	0.061976988	0.24572903	4.603381
25	pop	107.666015625	107.666015625	0.48666602	1.3017024	0.48741004	0.15253530356309952	96249	0.14528500821732404	3270.0808829467123	6880.766023781903	23.603793370452443	2988.7582143884124	0.0787308	0.22702415	5.788633
26	pop	129.19921875	129.19921875	0.36127013	-0.54482484	0.3876648	0.12844581996018112	122656	0.18515413524748647	3593.770316589631	7634.611323593387	20.531860630294616	3171.001978737726	0.10665849	0.13245592	2.2687209
27	pop	112.34714673913044	112.34714673913044	0.0	-23.014889	0.35192028	0.11583393171729052	48055	0.07252581508604021	1995.186312712328	4383.364110535093	25.090741139261358	2424.91901828124	0.01508145	0.037541915	-7.684949
28	pop	112.34714673913044	112.34714673913044	0.0	3.8215816	0.44702187	0.1849629907646043	152491	0.23009564723511214	4157.9880015154895	8677.730976290602	18.549394468602845	3451.420955563018	0.11403146	0.21315025	5.711976
29	pop	117.45383522727273	117.45383522727273	0.0	-3.6780527	0.4128149	0.14047513509307902	82805	0.12496148129350348	2843.350642092025	6481.061145047854	22.052679456190667	3039.5268476827296	0.046260625	0.2022344	3.7897637
30	pop	161.4990234375	129.19921875	0.31032234	-9.562411	0.27737978	0.22389754132384754	70828	0.10692755159996133	2638.9450717614895	5625.495191959107	21.28682729624488	2753.6463322825375	0.02472082	0.17207895	-16.481249
31	pop	112.34714673913044	112.34714673913044	0.5882531	-0.46921694	0.43340743	0.15394260329867496	84410	0.12735455034319412	3151.3426231432663	7293.569018724623	26.1552774844186	3220.369558586063	0.057108466	0.21573293	5.3492327
32	pop	103.359375	103.359375	0.0	0.6073396	0.3531917	0.15801372818883602	97740	0.1475236248066512	3603.8169001578863	7960.298939149507	25.686270344713833	3334.3307613639963	0.06889588	0.19402906	3.1118777
33	pop	99.38401442307692	99.38401442307692	0.035942256	-6.0765285	0.40905848	0.12653995725692158	90049	0.13584263824439288	3263.258088175465	6830.038926551624	21.282790698033846	3047.529076417464	0.058182016	0.17923316	-1.2939434
