	filepath	filename	genre	beats	tempo	plp	spectrogram	chromagram	tempogram	zero_crossings	zero_crossing_rate	spectral_centroid	spectral_rolloff	spectral_contrast	spectral_bandwidth	spectral_flatness	rms	mfccs
0	data/music-genres-dataset/pop/pop.00027.wav	pop.00027.wav	pop	83.35433467741936	83.35433467741936	0.0	-4.2690625	0.37761196	0.1270049797896095	67487	0.1018672509425754	2682.2841411936142	5956.0789882721865	22.257477751200955	2923.9677291945763	0.04730252	0.15790229	2.0804496
1	data/music-genres-dataset/pop/pop.00033.wav	pop.00033.wav	pop	99.38401442307692	99.38401442307692	0.0	-3.781867	0.4230361	0.1582642235263748	90785	0.1370099061049884	2835.1193750729917	5944.9793131888055	18.06824462921077	2731.752386563178	0.06138166	0.13989581	0.8431291
2	data/music-genres-dataset/pop/pop.00032.wav	pop.00032.wav	pop	95.703125	95.703125	0.5190448	-4.3585157	0.42676926	0.1213139233661285	151492	0.2286406219789249	4225.461048803119	8483.38257685615	18.657617423058017	3404.380733377869	0.1258691	0.09786053	-0.6662345
3	data/music-genres-dataset/pop/pop.00026.wav	pop.00026.wav	pop	75.99954044117646	151.99908088235293	0.0	-4.899115	0.33496165	0.1331976034652774	68571	0.1034944774748646	2525.591958741718	5552.801896026682	23.054193472312004	2848.409561321618	0.030346572	0.19562604	2.0700037
4	data/music-genres-dataset/pop/pop.00030.wav	pop.00030.wav	pop	95.703125	95.703125	0.47259772	0.98300797	0.35763043	0.1402475645672415	98516	0.1486791860015467	3070.67274061992	6653.076964907193	17.1289937107431	2975.765677307878	0.0750342	0.20309304	2.515382
5	data/music-genres-dataset/pop/pop.00024.wav	pop.00024.wav	pop	117.45383522727272	117.45383522727272	0.0	0.13913727	0.41110682	0.1239784540683945	95684	0.1444462822650812	3301.0929851622573	7301.571110063805	23.540845708340957	3175.46412669437	0.06820601	0.20741427	4.1391325
6	data/music-genres-dataset/pop/pop.00018.wav	pop.00018.wav	pop	123.046875	123.046875	0.0	0.24669972	0.4100085	0.1430929692392072	84576	0.1276717632202242	3433.985232759774	7932.862007866879	22.282596096234524	3405.7666992378154	0.056423698	0.20743433	6.0355062
7	data/music-genres-dataset/pop/pop.00019.wav	pop.00019.wav	pop	92.28515625	92.28515625	0.3813754	0.6553928	0.37659606	0.1446478553886301	103348	0.1559867888389404	3131.3254321239874	6553.363079593242	20.29324485365906	2944.985724987451	0.07228257	0.21086523	1.7736417
8	data/music-genres-dataset/pop/pop.00025.wav	pop.00025.wav	pop	151.99908088235293	151.99908088235293	0.49277604	-5.920678	0.3302879	0.1091055012559601	70016	0.1056855121326372	2927.989977321795	6815.933262942285	23.734989816815435	3200.8357557441045	0.033660278	0.18959826	0.73471004
9	data/music-genres-dataset/pop/pop.00031.wav	pop.00031.wav	pop	95.703125	95.703125	0.58352715	1.023975	0.36610875	0.1502943598384311	101286	0.1528573327532869	3110.898195801066	6744.988602994489	17.233861894769653	2992.0106379280487	0.07849551	0.1983218	2.3960662
10	data/music-genres-dataset/pop/pop.00009.wav	pop.00009.wav	pop	107.666015625	107.666015625	0.15942161	0.47262374	0.454658	0.1748941010779597	114448	0.1727420485305491	3279.531912828242	6952.518387017836	21.46647193114692	3026.2086958494724	0.09039756	0.15963759	3.5115952
11	data/music-genres-dataset/pop/pop.00035.wav	pop.00035.wav	pop	107.666015625	107.666015625	0.0	5.200462	0.41194078	0.1603339602841768	105560	0.15931563587587	3194.0815509402264	6993.553044790458	18.40575974443705	3052.790792019349	0.096021354	0.28242227	6.462934
12	data/music-genres-dataset/pop/pop.00021.wav	pop.00021.wav	pop	99.38401442307692	99.38401442307692	0.0	1.880484	0.5045263	0.1008635165959355	123821	0.1869195759619102	3501.766517900576	7199.7089005401685	17.936121451694305	3027.137183030078	0.13373645	0.19351788	4.4525824
13	data/music-genres-dataset/pop/pop.00020.wav	pop.00020.wav	pop	107.666015625	107.666015625	0.0	4.9443154	0.41232684	0.1218892915691918	119008	0.1796414286059551	3486.442168970654	7442.561131453016	19.844530615031942	3132.029082721668	0.11731814	0.24800573	5.3486943
14	data/music-genres-dataset/pop/pop.00034.wav	pop.00034.wav	pop	95.703125	95.703125	0.6793244	-2.0331125	0.3409636	0.131812744149731	86782	0.130993435203983	3141.5753946328723	7236.996481202871	23.89555348611065	3230.4645793807344	0.053766645	0.1875196	1.3784007
15	data/music-genres-dataset/pop/pop.00008.wav	pop.00008.wav	pop	172.265625	172.265625	0.4602092	-2.0849159	0.40371543	0.2029713719411253	80327	0.1212565104166666	2884.916266089355	6428.876851163718	21.67086600761226	3009.4714107494265	0.037692703	0.19541575	5.135945
16	data/music-genres-dataset/pop/pop.00022.wav	pop.00022.wav	pop	103.359375	103.359375	0.17763662	-0.43138754	0.38697228	0.1075146074846278	93810	0.141530944871423	3206.647958650542	7019.799238235933	23.427457585973787	3126.207007463915	0.07266272	0.19603845	4.227348
17	data/music-genres-dataset/pop/pop.00036.wav	pop.00036.wav	pop	99.38401442307692	99.38401442307692	0.5337776	-0.75597835	0.39462188	0.1506713172372609	76229	0.1150565092082366	2944.414730074532	6878.242991861224	22.7445634070214	3162.449254046746	0.041265976	0.25651452	6.6254134
18	data/music-genres-dataset/pop/pop.00037.wav	pop.00037.wav	pop	103.359375	103.359375	0.0	3.6626027	0.45196876	0.1315380877166207	109215	0.1648056844547563	3237.833164073797	6701.355971758991	19.082680706367366	2954.2710451778385	0.090256006	0.24084239	5.3766165
19	data/music-genres-dataset/pop/pop.00023.wav	pop.00023.wav	pop	103.359375	103.359375	0.0	1.0423093	0.39335328	0.1210782743545319	117660	0.1775614184551431	3758.780588956461	7853.9235834179235	21.276160530122407	3293.5288823336773	0.09765326	0.21067925	3.6330142
20	data/music-genres-dataset/pop/pop.00044.wav	pop.00044.wav	pop	117.45383522727272	117.45383522727272	0.58213305	-0.47010234	0.4561922	0.1218320680281029	89871	0.1356051062209976	3145.363681067722	6691.938317956062	24.246338741637928	3017.374752510687	0.060965512	0.22269987	3.8304849
21	data/music-genres-dataset/pop/pop.00050.wav	pop.00050.wav	pop	143.5546875	143.5546875	0.0	-3.1453853	0.41398925	0.1464539703388356	78604	0.1186259093435808	3046.5237482673297	6630.777692684164	25.000564385209653	3095.301263893685	0.043152034	0.20830256	4.024983
22	data/music-genres-dataset/pop/pop.00078.wav	pop.00078.wav	pop	103.359375	103.359375	0.0	-0.3460482	0.45499545	0.133836294932945	94528	0.1426215529534029	3123.1590150815546	6616.363936068011	20.215100647690747	2970.177092073625	0.07660115	0.22339483	3.0109258
23	data/music-genres-dataset/pop/pop.00087.wav	pop.00087.wav	pop	103.359375	103.359375	0.0	0.40248212	0.35240334	0.1655311285497574	97049	0.146459073496713	3588.149314447026	7948.000199390951	23.60324600647713	3336.585477137673	0.06827112	0.19086911	3.1329553
24	data/music-genres-dataset/pop/pop.00093.wav	pop.00093.wav	pop	135.99917763157896	135.99917763157896	0.543839	2.1545596	0.41551125	0.1496264632670538	87215	0.1316335254737045	3259.3511186288288	7269.646013087297	24.51378238724156	3144.511334185365	0.061976988	0.24572903	4.603381
